Hand,Suited,High card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush
AA,Off-suited,0.0,0.3597859125148672,0.39667352602465594,0.11773773339122884,0.0121844852649663,0.019616190602050255,0.08547641073080481,0.008423795049934868,0.00010194642149181597
KK,Off-suited,0.0,0.3597859125148672,0.39667352602465594,0.11773773339122884,0.0121844852649663,0.019616190602050255,0.08547641073080481,0.008423795049934868,0.00010194642149181597
QQ,Off-suited,0.0,0.35698238592384224,0.3959599010742132,0.11749891445940078,0.015940455738262003,0.019574656874775814,0.08547641073080481,0.008423795049934868,0.0001434801487662595
JJ,Off-suited,0.0,0.3541788593328173,0.3952462761237705,0.11726009552757273,0.019696426211557705,0.019533123147501368,0.08547641073080481,0.008423795049934868,0.00018501387604070305
TT,Off-suited,0.0,0.3513753327417924,0.3945326511733278,0.11702127659574468,0.023452396684853404,0.019491589420226926,0.08547641073080481,0.008423795049934868,0.0002265476033151466
99,Off-suited,0.0,0.3518425871736299,0.3945326511733278,0.11702127659574468,0.022985142253015914,0.01949253336857407,0.08547641073080481,0.008423795049934868,0.00022560365496800014
88,Off-suited,0.0,0.3518425871736299,0.3945326511733278,0.11702127659574468,0.022985142253015914,0.01949253336857407,0.08547641073080481,0.008423795049934868,0.00022560365496800014
77,Off-suited,0.0,0.3518425871736299,0.3945326511733278,0.11702127659574468,0.022985142253015914,0.01949253336857407,0.08547641073080481,0.008423795049934868,0.00022560365496800014
66,Off-suited,0.0,0.3518425871736299,0.3945326511733278,0.11702127659574468,0.022985142253015914,0.01949253336857407,0.08547641073080481,0.008423795049934868,0.00022560365496800014
55,Off-suited,0.0,0.3513753327417924,0.3945326511733278,0.11702127659574468,0.023452396684853404,0.019491589420226926,0.08547641073080481,0.008423795049934868,0.0002265476033151466
44,Off-suited,0.0,0.3541788593328173,0.3952462761237705,0.11726009552757273,0.019696426211557705,0.019533123147501368,0.08547641073080481,0.008423795049934868,0.00018501387604070305
33,Off-suited,0.0,0.35698238592384224,0.3959599010742132,0.11749891445940078,0.015940455738262003,0.019574656874775814,0.08547641073080481,0.008423795049934868,0.0001434801487662595
22,Off-suited,0.0,0.3597859125148672,0.39667352602465594,0.11773773339122884,0.0121844852649663,0.019616190602050255,0.08547641073080481,0.008423795049934868,0.00010194642149181597
A9,Suited,0.18267524401064775,0.4367384696709396,0.2226467367705639,0.0436882893768053,0.024930147822311163,0.06567756612358172,0.022241310955464517,0.0012592270950933565,0.00014300817459268628
A8,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
A7,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
A6,Suited,0.18267524401064775,0.4367384696709396,0.2226467367705639,0.0436882893768053,0.024930147822311163,0.06567756612358172,0.022241310955464517,0.0012592270950933565,0.00014300817459268628
A5,Suited,0.17576554210953577,0.4286507202325889,0.2213993090298099,0.043423511865430725,0.04143980441390247,0.06520983971757066,0.022241310955464517,0.0012592270950933565,0.0006107345806037494
A4,Suited,0.17792482395363327,0.429998678472314,0.2213993090298099,0.043423511865430725,0.03793256433007986,0.06523060658120787,0.022241310955464517,0.0012592270950933565,0.0005899677169665275
A3,Suited,0.18008410579773074,0.4313466367120391,0.2213993090298099,0.043423511865430725,0.034425324246257244,0.06525137344484509,0.022241310955464517,0.0012592270950933565,0.0005692008533293058
A2,Suited,0.18224338764182824,0.43269459495176427,0.2213993090298099,0.043423511865430725,0.03091808416243463,0.06527214030848232,0.022241310955464517,0.0012592270950933565,0.000548433989692084
KA,Suited,0.18224338764182824,0.43269459495176427,0.2213993090298099,0.043423511865430725,0.03091808416243463,0.06527214030848232,0.022241310955464517,0.0012592270950933565,0.000548433989692084
KJ,Suited,0.17360626026543827,0.4232588872736884,0.22015188128905586,0.04315873435405614,0.050503124469029055,0.06478411901300761,0.022241310955464517,0.0012592270950933565,0.0010364552851667957
K9,Suited,0.17835668032245275,0.429998678472314,0.2213993090298099,0.043423511865430725,0.03750070796126036,0.06523107855538145,0.022241310955464517,0.0012592270950933565,0.0005894957427929544
K8,Suited,0.18267524401064775,0.4367384696709396,0.2226467367705639,0.0436882893768053,0.024930147822311163,0.06567756612358172,0.022241310955464517,0.0012592270950933565,0.00014300817459268628
K7,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
K6,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
K5,Suited,0.18008410579773074,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028869244274953274,0.06565632728577092,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
K4,Suited,0.18224338764182824,0.4367384696709396,0.2226467367705639,0.0436882893768053,0.02536200419113066,0.06567709414940814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
K3,Suited,0.18440266948592574,0.4380864279106647,0.2226467367705639,0.0436882893768053,0.021854764107308047,0.06569786101304537,0.022241310955464517,0.0012592270950933565,0.00012271328512903775
K2,Suited,0.18656195133002323,0.4394343861503899,0.2226467367705639,0.0436882893768053,0.018347524023485436,0.06571862787668259,0.022241310955464517,0.0012592270950933565,0.00010194642149181597
QA,Suited,0.18008410579773074,0.4313466367120391,0.2213993090298099,0.043423511865430725,0.034425324246257244,0.06525137344484509,0.022241310955464517,0.0012592270950933565,0.0005692008533293058
QK,Suited,0.17576554210953577,0.4246068455134135,0.22015188128905586,0.04315873435405614,0.046995884385206445,0.06480488587664483,0.022241310955464517,0.0012592270950933565,0.0010156884215295739
QJ,Suited,0.1671284147331458,0.41517113783533766,0.21890445354830185,0.04289395684268157,0.06658092469180087,0.06431686458117011,0.022241310955464517,0.0012592270950933565,0.0015037097170042856
Q9,Suited,0.17187883479016028,0.42191092903396327,0.22015188128905586,0.04315873435405614,0.05357850818403217,0.06476382412354396,0.022241310955464517,0.0012592270950933565,0.0010567501746304442
Q8,Suited,0.17619739847835528,0.4286507202325889,0.2213993090298099,0.043423511865430725,0.041007948045082974,0.06521031169174422,0.022241310955464517,0.0012592270950933565,0.0006102626064301761
Q7,Suited,0.18051596216655025,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028437387906133777,0.0656567992599445,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
Q6,Suited,0.17835668032245275,0.4340425531914894,0.2226467367705639,0.0436882893768053,0.03194462798995639,0.06563603239630728,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
Q5,Suited,0.17792482395363327,0.4340425531914894,0.2226467367705639,0.0436882893768053,0.03237648435877589,0.0656355604221337,0.022241310955464517,0.0012592270950933565,0.00018501387604070305
Q4,Suited,0.18008410579773074,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028869244274953274,0.06565632728577092,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
Q3,Suited,0.18224338764182824,0.4367384696709396,0.2226467367705639,0.0436882893768053,0.02536200419113066,0.06567709414940814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
Q2,Suited,0.18440266948592574,0.4380864279106647,0.2226467367705639,0.0436882893768053,0.021854764107308047,0.06569786101304537,0.022241310955464517,0.0012592270950933565,0.00012271328512903775
JA,Suited,0.17792482395363327,0.429998678472314,0.2213993090298099,0.043423511865430725,0.03793256433007986,0.06523060658120787,0.022241310955464517,0.0012592270950933565,0.0005899677169665275
